x y weight
0 1 4029.242745537449
0 10 4029.4353101564525
0 11 4256.282367987149
1 2 4029.242745537449
1 12 3546.1862282794496
10 9 4029.2427455374423
10 21 3999.290831287879
11 12 4029.242745537451
11 21 4029.4353101564493
11 22 4018.7357527804425
2 3 4029.24274553745
12 13 4029.2427455374495
12 23 3257.2389104903664
3 4 4029.2427455374495
4 5 4029.2427455374477
4 15 3534.1118764698012
5 6 4029.2427455374527
5 16 4253.424044595523
15 14 4029.2427455374504
15 16 4029.242745537446
15 26 3244.086835684338
6 7 4029.2427455374486
6 17 4007.4410874553205
16 17 4029.2427455374536
16 27 4015.7078876826727
7 8 4029.242745537451
7 18 2961.469922521537
17 18 4029.2427455374473
17 28 3754.17603067556
8 9 4029.2427455374536
18 19 4029.242745537448
18 29 2608.399557167711
9 20 2948.067478241725
21 20 4029.2427455374473
21 32 3745.473282625479
22 23 4029.242745537449
22 32 4029.435310156452
22 33 4256.28236798715
13 14 4029.242745537451
23 24 4029.242745537451
23 34 3546.1862282794505
26 25 4029.242745537449
26 27 4029.242745537446
26 37 3534.1118764698026
27 28 4029.242745537453
27 38 4253.424044595523
28 29 4029.2427455374486
28 39 4007.4410874553205
19 20 4029.2427455374536
20 31 2593.208094934711
31 30 4029.242745537454
31 32 4029.242745537442
31 42 2948.0674782417254
32 43 3999.29083128788
33 34 4029.2427455374504
33 43 4029.4353101564493
33 44 4018.7357527804397
24 25 4029.242745537451
34 35 4029.2427455374495
34 45 3257.238910490364
37 36 4029.242745537452
37 38 4029.242745537447
37 48 3244.0868356843384
38 39 4029.242745537454
38 49 4015.7078876826713
29 30 4029.242745537449
29 40 2961.4699225215372
39 40 4029.2427455374473
39 50 3754.176030675558
40 41 4029.2427455374495
40 51 2608.3995571677115
43 42 4029.2427455374486
43 54 3745.4732826254776
44 45 4029.2427455374495
44 54 4029.4353101564525
44 55 4256.28236798715
35 36 4029.2427455374504
45 46 4029.2427455374514
45 56 3546.186228279452
48 47 4029.2427455374495
48 49 4029.2427455374477
48 59 3534.1118764698012
49 50 4029.2427455374527
49 60 4253.424044595523
50 51 4029.2427455374495
50 61 4007.4410874553214
41 42 4029.242745537454
42 53 2593.208094934711
53 52 4029.2427455374545
53 54 4029.2427455374423
53 64 2948.067478241725
54 65 3999.2908312878794
55 56 4029.24274553745
55 65 4029.4353101564493
46 47 4029.2427455374523
56 57 4029.242745537449
59 58 4029.2427455374504
59 60 4029.242745537447
60 61 4029.2427455374536
51 52 4029.242745537451
51 62 2961.469922521537
61 62 4029.2427455374477
62 63 4029.2427455374486
65 64 4029.2427455374477
57 58 4029.2427455374514
63 64 4029.242745537454
